Data inicial,Data Final,Horário Sem Restrição,"Restaurantes, bares, lanchonetes e estabelecimentos congêneres ",Shows e Música ao Vivo,Lojas do centro,Lojas de rua e galerias,Shoppings,Aula em Instituição Privada (Crianças),Aula em Instituição Privada (Adultos),Aula em Instituição Pública (Crianças),Aula em Instituição Pública (Adultos),Academia,"Praias, calçadões, lagoas, rios e clubes","Templos, igrejas e demais instituições religiosas",Salões de beleza e barbearias,Transporte Intermunicipal e Turístico,"Eventos sociais, corporativos e celebrações",Jogos do Campeonato de Futebol,Cruzeiros e outras embarcações de passageiros de grande porte,"Cinemas, teatro e museu",Confirmed,ConfirmedChange,Deaths,DeathsChange
2020-05-06,2020-06-21,1,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.5,0.0,0,0.0,11735.0,591.0,433.0,16.0
2020-06-22,2020-07-12,1,0.0,0,0,0,0,0.0,0,0.0,0,0.0,1,0.3,1.0,0.0,0.5,0.0,0,0.0,36562.0,746.0,1045.0,15.0
2020-07-13,2020-08-10,1,0.5,0,1,1,1,0.0,0,0.0,0,0.0,1,0.5,1.0,0.5,0.5,0.0,0,0.0,56536.0,790.0,1485.0,16.0
2020-08-11,2020-10-20,1,0.75,0,1,1,1,0.0,0,0.0,0,0.5,1,0.75,1.0,0.75,0.5,0.0,0,0.0,84571.0,259.0,2026.0,6.0
2020-10-21,2020-12-23,1,0.75,1,1,1,1,0.0,1,0.0,0,0.5,1,0.75,1.0,0.75,0.5,0.0,0,0.0,94373.0,194.0,2305.0,3.0
2020-12-24,2021-01-08,0,0.75,0,1,1,1,0.0,1,0.0,0,0.5,1,0.75,1.0,0.75,0.5,0.0,0,0.0,104841.0,318.0,2480.0,7.0
2021-01-09,2021-01-20,1,0.75,1,1,1,1,0.0,1,0.0,0,0.5,1,0.75,1.0,0.75,0.5,0.0,0,0.0,110131.0,401.0,2584.0,8.0
2021-01-21,2021-03-18,1,0.75,1,1,1,1,0.5,1,0.0,0,0.5,1,0.75,1.0,0.75,0.5,0.0,0,0.0,126913.0,566.0,2907.0,10.0
2021-03-19,2021-04-05,0,0.0,0,1,1,1,1.0,1,0.0,0,0.3,0,0.3,0.5,0.3,0.5,0.0,0,0.0,151137.0,648.0,3448.0,18.0
2021-04-06,2021-04-27,0,1.0,0,1,1,1,1.0,1,0.0,0,0.3,0,0.3,0.5,0.3,0.5,0.0,0,0.0,164832.0,685.0,3900.0,23.0
2021-04-28,2021-07-08,0,1.0,1,1,1,1,1.0,1,0.0,0,0.3,1,0.3,0.5,0.3,0.5,0.0,0,0.0,196352.0,700.0,4791.0,18.0
2021-07-09,2021-08-22,0,1.0,1,1,1,1,1.0,1,0.0,0,0.3,1,0.3,0.5,0.5,0.5,0.0,0,0.3,229350.0,265.0,5779.0,11.0
2021-08-23,2021-09-01,0,1.0,1,1,1,1,1.0,1,0.6,0,0.3,1,0.3,0.5,0.5,0.5,0.0,0,0.3,235177.0,181.0,6042.0,6.0
2021-09-02,2021-09-22,1,0.75,1,1,1,1,1.0,1,0.6,0,0.3,1,0.75,0.75,0.5,0.5,0.0,0,0.75,237103.0,89.0,6129.0,5.0
2021-09-23,2021-10-21,1,0.75,1,1,1,1,1.0,1,0.6,0,0.3,1,0.75,0.75,0.5,0.5,0.3,0,0.75,238642.0,59.0,6226.0,3.0
2021-10-22,2021-11-03,1,0.75,1,1,1,1,1.0,1,0.6,0,0.3,1,0.75,0.75,0.5,0.5,0.5,0,0.75,239960.0,66.0,6282.0,2.0
2021-11-04,2021-11-07,1,0.75,1,1,1,1,1.0,1,0.6,0,0.3,1,0.75,0.75,0.5,0.5,0.75,0,0.75,240463.0,39.0,6300.0,2.0
2021-11-08,2021-11-26,1,0.75,1,1,1,1,1.0,1,1.0,0,0.3,1,0.75,0.75,0.5,0.5,0.75,0,0.75,241017.0,45.0,6322.0,1.0
2021-11-27,2022-01-08,1,0.75,1,1,1,1,1.0,1,1.0,0,0.3,1,0.75,0.75,0.5,0.5,0.75,1,0.75,241847.0,18.0,6370.0,1.0
